username,repo_name,repo_url,star_count
mrdoob,three.js,https:github.com/mrdoob/three.js,76300
libgdx,libgdx,https:github.com/libgdx/libgdx,19300
pmndrs,react-three-fiber,https:github.com/pmndrs/react-three-fiber,15800
BabylonJS,Babylon.js,https:github.com/BabylonJS/Babylon.js,15300
aframevr,aframe,https:github.com/aframevr/aframe,13300
ssloy,tinyrenderer,https:github.com/ssloy/tinyrenderer,11700
lettier,3d-game-shaders-for-beginners,https:github.com/lettier/3d-game-shaders-for-beginners,11600
FreeCAD,FreeCAD,https:github.com/FreeCAD/FreeCAD,10200
metafizzy,zdog,https:github.com/metafizzy/zdog,8900
CesiumGS,cesium,https:github.com/CesiumGS/cesium,8000
timzhang642,3D-Machine-Learning,https:github.com/timzhang642/3D-Machine-Learning,7300
a1studmuffin,SpaceshipGenerator,https:github.com/a1studmuffin/SpaceshipGenerator,7000
isl-org,Open3D,https:github.com/isl-org/Open3D,5800
spritejs,spritejs,https:github.com/spritejs/spritejs,4700
domlysz,BlenderGIS,https:github.com/domlysz/BlenderGIS,4600
tensorspace-team,tensorspace,https:github.com/tensorspace-team/tensorspace,4500
jagenjo,webglstudio.js,https:github.com/jagenjo/webglstudio.js,4500
YadiraF,PRNet,https:github.com/YadiraF/PRNet,4500
openscad,openscad,https:github.com/openscad/openscad,4400
AaronJackson,vrn,https:github.com/AaronJackson/vrn,4400
ssloy,tinyraytracer,https:github.com/ssloy/tinyraytracer,4000
blender,blender,https:github.com/blender/blender,3900
mosra,magnum,https:github.com/mosra/magnum,3700
google,model-viewer,https:github.com/google/model-viewer,3700
gfxfundamentals,webgl-fundamentals,https:github.com/gfxfundamentals/webgl-fundamentals,3300
cleardusk,3DDFA,https:github.com/cleardusk/3DDFA,3100
jasonlong,isometric-contributions,https:github.com/jasonlong/isometric-contributions,3100
rg3dengine,rg3d,https:github.com/rg3dengine/rg3d,2900
cnr-isti-vclab,meshlab,https:github.com/cnr-isti-vclab/meshlab,2600
antvis,L7,https:github.com/antvis/L7,2500
