username,repo_name,repo_url,star_count
jwasham,coding-interview-university,https:github.com/jwasham/coding-interview-university,199000
CyC2018,CS-Notes,https:github.com/CyC2018/CS-Notes,142000
trekhleb,javascript-algorithms,https:github.com/trekhleb/javascript-algorithms,127000
TheAlgorithms,Python,https:github.com/TheAlgorithms/Python,124000
yangshun,tech-interview-handbook,https:github.com/yangshun/tech-interview-handbook,61300
kdn251,interviews,https:github.com/kdn251/interviews,54700
azl397985856,leetcode,https:github.com/azl397985856/leetcode,45300
TheAlgorithms,Java,https:github.com/TheAlgorithms/Java,42500
algorithm-visualizer,algorithm-visualizer,https:github.com/algorithm-visualizer/algorithm-visualizer,35900
crossoverJie,JCSprout,https:github.com/crossoverJie/JCSprout,26500
donnemartin,interactive-coding-challenges,https:github.com/donnemartin/interactive-coding-challenges,24200
halfrost,LeetCode-Go,https:github.com/halfrost/LeetCode-Go,22000
huihut,interview,https:github.com/huihut/interview,21400
keon,algorithms,https:github.com/keon/algorithms,20000
youngyangyang04,leetcode-master,https:github.com/youngyangyang04/leetcode-master,18600
trekhleb,homemade-machine-learning,https:github.com/trekhleb/homemade-machine-learning,18500
mxgmn,WaveFunctionCollapse,https:github.com/mxgmn/WaveFunctionCollapse,17000
TheAlgorithms,C-Plus-Plus,https:github.com/TheAlgorithms/C-Plus-Plus,16900
TheAlgorithms,Javascript,https:github.com/TheAlgorithms/Javascript,16000
AtsushiSakai,PythonRobotics,https:github.com/AtsushiSakai/PythonRobotics,13700
OpenGenus,cosmos,https:github.com/OpenGenus/cosmos,12900
greyireland,algorithm-pattern,https:github.com/greyireland/algorithm-pattern,12900
williamfiset,Algorithms,https:github.com/williamfiset/Algorithms,11400
apachecn,apachecn-algo-zh,https:github.com/apachecn/apachecn-algo-zh,10500
halfrost,Halfrost-Field,https:github.com/halfrost/Halfrost-Field,10300
lnishan,awesome-competitive-programming,https:github.com/lnishan/awesome-competitive-programming,9100
Blankj,awesome-java-leetcode,https:github.com/Blankj/awesome-java-leetcode,8300
jeffgerickson,algorithms,https:github.com/jeffgerickson/algorithms,7400
LeetCode-OpenSource,vscode-leetcode,https:github.com/LeetCode-OpenSource/vscode-leetcode,6900
mgechev,javascript-algorithms,https:github.com/mgechev/javascript-algorithms,6900
