username,repo_name,repo_url,star_count
flutter,flutter,https:github.com/flutter/flutter,133000
justjavac,free-programming-books-zh_CN,https:github.com/justjavac/free-programming-books-zh_CN,84500
Genymobile,scrcpy,https:github.com/Genymobile/scrcpy,58000
Hack-with-Github,Awesome-Hacking,https:github.com/Hack-with-Github/Awesome-Hacking,47800
google,material-design-icons,https:github.com/google/material-design-icons,44400
wasabeef,awesome-android-ui,https:github.com/wasabeef/awesome-android-ui,41700
square,okhttp,https:github.com/square/okhttp,41200
android,architecture-samples,https:github.com/android/architecture-samples,39800
square,retrofit,https:github.com/square/retrofit,39100
Solido,awesome-flutter,https:github.com/Solido/awesome-flutter,38300
PhilJay,MPAndroidChart,https:github.com/PhilJay/MPAndroidChart,34300
fastlane,fastlane,https:github.com/fastlane/fastlane,33300
airbnb,lottie-android,https:github.com/airbnb/lottie-android,32100
shadowsocks,shadowsocks-android,https:github.com/shadowsocks/shadowsocks-android,32100
bumptech,glide,https:github.com/bumptech/glide,32000
Trinea,android-open-project,https:github.com/Trinea/android-open-project,30800
Blankj,AndroidUtilCode,https:github.com/Blankj/AndroidUtilCode,30100
xitu,gold-miner,https:github.com/xitu/gold-miner,29800
bilibili,ijkplayer,https:github.com/bilibili/ijkplayer,29700
zxing,zxing,https:github.com/zxing/zxing,28700
skylot,jadx,https:github.com/skylot/jadx,27900
codepath,android_guides,https:github.com/codepath/android_guides,27600
square,leakcanary,https:github.com/square/leakcanary,27000
laurent22,joplin,https:github.com/laurent22/joplin,26600
alibaba,fastjson,https:github.com/alibaba/fastjson,24000
scwang90,SmartRefreshLayout,https:github.com/scwang90/SmartRefreshLayout,23100
CymChad,BaseRecyclerViewAdapterHelper,https:github.com/CymChad/BaseRecyclerViewAdapterHelper,22500
react-native-elements,react-native-elements,https:github.com/react-native-elements/react-native-elements,21700
google,iosched,https:github.com/google/iosched,20900
NativeScript,NativeScript,https:github.com/NativeScript/NativeScript,20700
