username,repo_name,repo_url,star_count
public-apis,public-apis,https:github.com/public-apis/public-apis,169000
httpie,httpie,https:github.com/httpie/httpie,52900
neovim,neovim,https:github.com/neovim/neovim,48900
strapi,strapi,https:github.com/strapi/strapi,41100
tiangolo,fastapi,https:github.com/tiangolo/fastapi,38800
hoppscotch,hoppscotch,https:github.com/hoppscotch/hoppscotch,34100
slatedocs,slate,https:github.com/slatedocs/slate,33400
hasura,graphql-engine,https:github.com/hasura/graphql-engine,24600
YMFE,yapi,https:github.com/YMFE/yapi,23100
encode,django-rest-framework,https:github.com/encode/django-rest-framework,22300
ccxt,ccxt,https:github.com/ccxt/ccxt,22200
Binaryify,NeteaseCloudMusicApi,https:github.com/Binaryify/NeteaseCloudMusicApi,22100
littlecodersh,ItChat,https:github.com/littlecodersh/ItChat,21900
paularmstrong,normalizr,https:github.com/paularmstrong/normalizr,20700
FallibleInc,security-guide-for-developers,https:github.com/FallibleInc/security-guide-for-developers,20000
Kong,insomnia,https:github.com/Kong/insomnia,18700
microsoft,api-guidelines,https:github.com/microsoft/api-guidelines,17800
pubkey,rxdb,https:github.com/pubkey/rxdb,16600
shieldfy,API-Security-Checklist,https:github.com/shieldfy/API-Security-Checklist,16300
learn-anything,learn-anything,https:github.com/learn-anything/learn-anything,13500
youfou,wxpy,https:github.com/youfou/wxpy,13000
directus,directus,https:github.com/directus/directus,12900
jsdoc,jsdoc,https:github.com/jsdoc/jsdoc,12500
BrainJS,brain.js,https:github.com/BrainJS/brain.js,12300
ChainSafe,web3.js,https:github.com/ChainSafe/web3.js,12200
graphile,postgraphile,https:github.com/graphile/postgraphile,10900
micro,micro,https:github.com/micro/micro,10700
fangzesheng,free-api,https:github.com/fangzesheng/free-api,10600
OpenAPITools,openapi-generator,https:github.com/OpenAPITools/openapi-generator,10500
go-chi,chi,https:github.com/go-chi/chi,10500
