username,repo_name,repo_url,star_count
aspnetboilerplate,aspnetboilerplate,https:github.com/aspnetboilerplate/aspnetboilerplate,10000
dotnet,AspNetCore.Docs,https:github.com/dotnet/AspNetCore.Docs,9900
bitwarden,server,https:github.com/bitwarden/server,8700
nopSolutions,nopCommerce,https:github.com/nopSolutions/nopCommerce,6800
ElectronNET,Electron.NET,https:github.com/ElectronNET/Electron.NET,6100
RicoSuter,NSwag,https:github.com/RicoSuter/NSwag,4800
thangchung,clean-code-dotnet,https:github.com/thangchung/clean-code-dotnet,4400
JimBobSquarePants,ImageProcessor,https:github.com/JimBobSquarePants/ImageProcessor,2500
smartstore,SmartStoreNET,https:github.com/smartstore/SmartStoreNET,2300
dotnet,aspnet-api-versioning,https:github.com/dotnet/aspnet-api-versioning,2100
loic-sharma,BaGet,https:github.com/loic-sharma/BaGet,1800
mjebrahimi,Awesome-Microservices-NetCore,https:github.com/mjebrahimi/Awesome-Microservices-NetCore,1500
TrilonIO,aspnetcore-angular-universal,https:github.com/TrilonIO/aspnetcore-angular-universal,1500
TrilonIO,aspnetcore-Vue-starter,https:github.com/TrilonIO/aspnetcore-Vue-starter,1200
lampo1024,DncZeus,https:github.com/lampo1024/DncZeus,1200
MarimerLLC,csla,https:github.com/MarimerLLC/csla,960
riganti,dotvvm,https:github.com/riganti/dotvvm,580
cornflourblue,aspnet-core-3-jwt-authentication-api,https:github.com/cornflourblue/aspnet-core-3-jwt-authentication-api,568
antonioCoco,SharPyShell,https:github.com/antonioCoco/SharPyShell,495
chsakell,mvcarchitecture,https:github.com/chsakell/mvcarchitecture,446
brthor,Gofer.NET,https:github.com/brthor/Gofer.NET,420
YAFNET,YAFNET,https:github.com/YAFNET/YAFNET,413
Maarten88,rrod,https:github.com/Maarten88/rrod,377
SapphireDb,SapphireDb,https:github.com/SapphireDb/SapphireDb,361
IvanJosipovic,BlazorTable,https:github.com/IvanJosipovic/BlazorTable,354
Taritsyn,WebMarkupMin,https:github.com/Taritsyn/WebMarkupMin,339
chsakell,aspnet-core-identity,https:github.com/chsakell/aspnet-core-identity,308
EEParker,aspnetcore-vueclimiddleware,https:github.com/EEParker/aspnetcore-vueclimiddleware,304
ALMMa,datatables.aspnet,https:github.com/ALMMa/datatables.aspnet,284
cornflourblue,aspnet-core-jwt-authentication-api,https:github.com/cornflourblue/aspnet-core-jwt-authentication-api,275
