username,repo_name,repo_url,star_count
sindresorhus,awesome,https:github.com/sindresorhus/awesome,177000
vinta,awesome-python,https:github.com/vinta/awesome-python,108000
avelino,awesome-go,https:github.com/avelino/awesome-go,71300
awesome-selfhosted,awesome-selfhosted,https:github.com/awesome-selfhosted/awesome-selfhosted,68700
trimstray,the-book-of-secret-knowledge,https:github.com/trimstray/the-book-of-secret-knowledge,53900
papers-we-love,papers-we-love,https:github.com/papers-we-love/papers-we-love,50300
521xueweihan,HelloGitHub,https:github.com/521xueweihan/HelloGitHub,48700
Hack-with-Github,Awesome-Hacking,https:github.com/Hack-with-Github/Awesome-Hacking,47800
jaywcjlove,awesome-mac,https:github.com/jaywcjlove/awesome-mac,46400
DopplerHQ,awesome-interview-questions,https:github.com/DopplerHQ/awesome-interview-questions,44200
sindresorhus,awesome-nodejs,https:github.com/sindresorhus/awesome-nodejs,43100
wasabeef,awesome-android-ui,https:github.com/wasabeef/awesome-android-ui,41700
vsouza,awesome-ios,https:github.com/vsouza/awesome-ios,38600
prakhar1989,awesome-courses,https:github.com/prakhar1989/awesome-courses,38600
Solido,awesome-flutter,https:github.com/Solido/awesome-flutter,38300
MunGell,awesome-for-beginners,https:github.com/MunGell/awesome-for-beginners,36700
binhnguyennus,awesome-scalability,https:github.com/binhnguyennus/awesome-scalability,36500
fffaraz,awesome-cpp,https:github.com/fffaraz/awesome-cpp,34900
tiimgreen,github-cheat-sheet,https:github.com/tiimgreen/github-cheat-sheet,33500
dypsilon,frontend-dev-bookmarks,https:github.com/dypsilon/frontend-dev-bookmarks,32900
akullpp,awesome-java,https:github.com/akullpp/awesome-java,30700
serhii-londar,open-source-mac-os-apps,https:github.com/serhii-londar/open-source-mac-os-apps,28800
dkhamsing,open-source-ios-apps,https:github.com/dkhamsing/open-source-ios-apps,28700
brillout,awesome-react-components,https:github.com/brillout/awesome-react-components,28500
ziadoz,awesome-php,https:github.com/ziadoz/awesome-php,26000
herrbischoff,awesome-macos-command-line,https:github.com/herrbischoff/awesome-macos-command-line,25600
goabstract,Awesome-Design-Tools,https:github.com/goabstract/Awesome-Design-Tools,23700
rust-unofficial,awesome-rust,https:github.com/rust-unofficial/awesome-rust,22900
alebcay,awesome-shell,https:github.com/alebcay/awesome-shell,22500
sindresorhus,awesome-electron,https:github.com/sindresorhus/awesome-electron,22200
