username,repo_name,repo_url,star_count
serverless,serverless,https:github.com/serverless/serverless,41400
localstack,localstack,https:github.com/localstack/localstack,37400
donnemartin,data-science-ipython-notebooks,https:github.com/donnemartin/data-science-ipython-notebooks,21900
bregman-arie,devops-exercises,https:github.com/bregman-arie/devops-exercises,19600
ramitsurana,awesome-kubernetes,https:github.com/ramitsurana/awesome-kubernetes,12300
aws,aws-cli,https:github.com/aws/aws-cli,11700
kubernetes-sigs,kubespray,https:github.com/kubernetes-sigs/kubespray,11500
pulumi,pulumi,https:github.com/pulumi/pulumi,10700
donnemartin,awesome-aws,https:github.com/donnemartin/awesome-aws,9900
apereo,cas,https:github.com/apereo/cas,9100
mozilla,sops,https:github.com/mozilla/sops,8700
aws-amplify,amplify-js,https:github.com/aws-amplify/amplify-js,8500
aws,chalice,https:github.com/aws/chalice,8500
apex,up,https:github.com/apex/up,8400
aws,serverless-application-model,https:github.com/aws/serverless-application-model,8300
google,go-cloud,https:github.com/google/go-cloud,8100
caprover,caprover,https:github.com/caprover/caprover,7900
aws,aws-cdk,https:github.com/aws/aws-cdk,7900
aws,aws-sdk-go,https:github.com/aws/aws-sdk-go,7200
angristan,openvpn-install,https:github.com/angristan/openvpn-install,7000
boto,boto3,https:github.com/boto/boto3,6900
aws,aws-sdk-js,https:github.com/aws/aws-sdk-js,6800
hashicorp,terraform-provider-aws,https:github.com/hashicorp/terraform-provider-aws,6600
awslabs,aws-shell,https:github.com/awslabs/aws-shell,6300
aws,amazon-sagemaker-examples,https:github.com/aws/amazon-sagemaker-examples,6300
GoogleCloudPlatform,terraformer,https:github.com/GoogleCloudPlatform/terraformer,6200
aws,aws-sam-cli,https:github.com/aws/aws-sam-cli,5800
gruntwork-io,terratest,https:github.com/gruntwork-io/terratest,5700
donnemartin,dev-setup,https:github.com/donnemartin/dev-setup,5600
99designs,aws-vault,https:github.com/99designs/aws-vault,5500
