username,repo_name,repo_url,star_count
babel,babel,https:github.com/babel/babel,40000
nylas,nylas-mail,https:github.com/nylas/nylas-mail,24700
kriasoft,react-starter-kit,https:github.com/kriasoft/react-starter-kit,21000
avajs,ava,https:github.com/avajs/ava,19400
electron-react-boilerplate,electron-react-boilerplate,https:github.com/electron-react-boilerplate/electron-react-boilerplate,18600
swc-project,swc,https:github.com/swc-project/swc,18100
SimulatedGREG,electron-vue,https:github.com/SimulatedGREG/electron-vue,14600
grab,front-end-guide,https:github.com/grab/front-end-guide,14000
jamiebuilds,babel-handbook,https:github.com/jamiebuilds/babel-handbook,10500
grommet,grommet,https:github.com/grommet/grommet,7700
developit,htm,https:github.com/developit/htm,7300
angular-fullstack,generator-angular-fullstack,https:github.com/angular-fullstack/generator-angular-fullstack,6100
documentationjs,documentation,https:github.com/documentationjs/documentation,5400
insin,nwb,https:github.com/insin/nwb,5400
egoist,poi,https:github.com/egoist/poi,5300
thinkjs,thinkjs,https:github.com/thinkjs/thinkjs,5300
ben-rogerson,twin.macro,https:github.com/ben-rogerson/twin.macro,5000
babel,babel-loader,https:github.com/babel/babel-loader,4600
transitive-bullshit,create-react-library,https:github.com/transitive-bullshit/create-react-library,4500
jaredpalmer,backpack,https:github.com/jaredpalmer/backpack,4500
duxianwei520,react,https:github.com/duxianwei520/react,4400
babel,minify,https:github.com/babel/minify,4300
fkling,astexplorer,https:github.com/fkling/astexplorer,4300
tleunen,babel-plugin-module-resolver,https:github.com/tleunen/babel-plugin-module-resolver,3100
andywer,webpack-blocks,https:github.com/andywer/webpack-blocks,3000
babel,babel-eslint,https:github.com/babel/babel-eslint,3000
kunalkapadia,express-mongoose-es6-rest-api,https:github.com/kunalkapadia/express-mongoose-es6-rest-api,2800
thx,gogocode,https:github.com/thx/gogocode,2500
privatenumber,esbuild-loader,https:github.com/privatenumber/esbuild-loader,2500
uidotdev,react-course,https:github.com/uidotdev/react-course,2500
