username,repo_name,repo_url,star_count
jlevy,the-art-of-command-line,https:github.com/jlevy/the-art-of-command-line,98700
nvm-sh,nvm,https:github.com/nvm-sh/nvm,53400
junegunn,fzf,https:github.com/junegunn/fzf,40600
dylanaraps,pure-bash-bible,https:github.com/dylanaraps/pure-bash-bible,28000
mathiasbynens,dotfiles,https:github.com/mathiasbynens/dotfiles,27200
koalaman,shellcheck,https:github.com/koalaman/shellcheck,26900
LeCoupa,awesome-cheatsheets,https:github.com/LeCoupa/awesome-cheatsheets,25800
acmesh-official,acme.sh,https:github.com/acmesh-official/acme.sh,24400
alebcay,awesome-shell,https:github.com/alebcay/awesome-shell,22500
starship,starship,https:github.com/starship/starship,20100
jaywcjlove,linux-command,https:github.com/jaywcjlove/linux-command,17300
Nyr,openvpn-install,https:github.com/Nyr/openvpn-install,14100
rbenv,rbenv,https:github.com/rbenv/rbenv,13800
dylanaraps,neofetch,https:github.com/dylanaraps/neofetch,13600
powerline,powerline,https:github.com/powerline/powerline,12900
shelljs,shelljs,https:github.com/shelljs/shelljs,12900
Bash-it,bash-it,https:github.com/Bash-it/bash-it,12600
jessfraz,dockerfiles,https:github.com/jessfraz/dockerfiles,12200
faressoft,terminalizer,https:github.com/faressoft/terminalizer,12100
denisidoro,navi,https:github.com/denisidoro/navi,10000
codota,TabNine,https:github.com/codota/TabNine,8800
rgcr,m-cli,https:github.com/rgcr/m-cli,8600
alexanderepstein,Bash-Snippets,https:github.com/alexanderepstein/Bash-Snippets,8500
kanaka,mal,https:github.com/kanaka/mal,8200
direnv,direnv,https:github.com/direnv/direnv,8100
withfig,autocomplete,https:github.com/withfig/autocomplete,7900
skywind3000,awesome-cheatsheets,https:github.com/skywind3000/awesome-cheatsheets,7800
angristan,openvpn-install,https:github.com/angristan/openvpn-install,7000
carlospolop,PEASS-ng,https:github.com/carlospolop/PEASS-ng,7000
extrawurst,gitui,https:github.com/extrawurst/gitui,6500
