username,repo_name,repo_url,star_count
Genymobile,scrcpy,https:github.com/Genymobile/scrcpy,58000
neovim,neovim,https:github.com/neovim/neovim,48900
git,git,https:github.com/git/git,40200
fffaraz,awesome-cpp,https:github.com/fffaraz/awesome-cpp,34900
obsproject,obs-studio,https:github.com/obsproject/obs-studio,33500
serhii-londar,open-source-mac-os-apps,https:github.com/serhii-londar/open-source-mac-os-apps,28800
FFmpeg,FFmpeg,https:github.com/FFmpeg/FFmpeg,27000
vim,vim,https:github.com/vim/vim,25300
ggreer,the_silver_searcher,https:github.com/ggreer/the_silver_searcher,22900
curl,curl,https:github.com/curl/curl,22700
huihut,interview,https:github.com/huihut/interview,21400
ruby,ruby,https:github.com/ruby/ruby,18700
google,flatbuffers,https:github.com/google/flatbuffers,17100
mpv-player,mpv,https:github.com/mpv-player/mpv,16800
pbatard,rufus,https:github.com/pbatard/rufus,16800
ossrs,srs,https:github.com/ossrs/srs,16500
oracle,graal,https:github.com/oracle/graal,16200
radareorg,radare2,https:github.com/radareorg/radare2,15300
shadowsocks,shadowsocks-libev,https:github.com/shadowsocks/shadowsocks-libev,14700
microsoft,vcpkg,https:github.com/microsoft/vcpkg,14300
allinurl,goaccess,https:github.com/allinurl/goaccess,14000
vurtun,nuklear,https:github.com/vurtun/nuklear,13300
jarun,nnn,https:github.com/jarun/nnn,13000
kovidgoyal,kitty,https:github.com/kovidgoyal/kitty,12800
facebook,infer,https:github.com/facebook/infer,12800
CoatiSoftware,Sourcetrail,https:github.com/CoatiSoftware/Sourcetrail,12200
TheAlgorithms,C,https:github.com/TheAlgorithms/C,11600
qmk,qmk_firmware,https:github.com/qmk/qmk_firmware,11000
s-matyukevich,raspberry-pi-os,https:github.com/s-matyukevich/raspberry-pi-os,11000
hashcat,hashcat,https:github.com/hashcat/hashcat,10900
