username,repo_name,repo_url,star_count
ohmyzsh,ohmyzsh,https:github.com/ohmyzsh/ohmyzsh,137000
httpie,httpie,https:github.com/httpie/httpie,52900
junegunn,fzf,https:github.com/junegunn/fzf,40600
sharkdp,bat,https:github.com/sharkdp/bat,30500
wagoodman,dive,https:github.com/wagoodman/dive,28600
sherlock-project,sherlock,https:github.com/sherlock-project/sherlock,28300
BurntSushi,ripgrep,https:github.com/BurntSushi/ripgrep,28300
chubin,cheat.sh,https:github.com/chubin/cheat.sh,27700
cli,cli,https:github.com/cli/cli,26400
angular,angular-cli,https:github.com/angular/angular-cli,25100
spf13,cobra,https:github.com/spf13/cobra,24100
jesseduffield,lazygit,https:github.com/jesseduffield/lazygit,22500
alebcay,awesome-shell,https:github.com/alebcay/awesome-shell,22500
google,python-fire,https:github.com/google/python-fire,20500
tqdm,tqdm,https:github.com/tqdm/tqdm,20200
sharkdp,fd,https:github.com/sharkdp/fd,19600
avajs,ava,https:github.com/avajs/ava,19400
vercel,pkg,https:github.com/vercel/pkg,19200
n8n-io,n8n,https:github.com/n8n-io/n8n,19000
ibraheemdev,modern-unix,https:github.com/ibraheemdev/modern-unix,18000
chalk,chalk,https:github.com/chalk/chalk,17400
vadimdemedes,ink,https:github.com/vadimdemedes/ink,17300
svg,svgo,https:github.com/svg/svgo,17000
urfave,cli,https:github.com/urfave/cli,16900
gpakosz,.tmux,https:github.com/gpakosz/.tmux,15400
allinurl,goaccess,https:github.com/allinurl/goaccess,14000
FormidableLabs,webpack-dashboard,https:github.com/FormidableLabs/webpack-dashboard,13800
infinitered,ignite,https:github.com/infinitered/ignite,13200
jarun,nnn,https:github.com/jarun/nnn,13000
pomber,git-history,https:github.com/pomber/git-history,12700
