username,repo_name,repo_url,star_count
ovity,octotree,https:github.com/ovity/octotree,21700
gitpod-io,gitpod,https:github.com/gitpod-io/gitpod,6000
danger,danger,https:github.com/danger/danger,4700
reviewdog,reviewdog,https:github.com/reviewdog/reviewdog,4400
danger,danger-js,https:github.com/danger/danger-js,4000
joho,awesome-code-review,https:github.com/joho/awesome-code-review,3200
houndci,hound,https:github.com/houndci/hound,1900
ajinabraham,nodejsscan,https:github.com/ajinabraham/nodejsscan,1900
mbj,mutant,https:github.com/mbj/mutant,1800
microsoft,vscode-pull-request-github,https:github.com/microsoft/vscode-pull-request-github,1800
crev-dev,cargo-crev,https:github.com/crev-dev/cargo-crev,1500
reviewboard,reviewboard,https:github.com/reviewboard/reviewboard,1400
ryanmcdermott,code-review-tips,https:github.com/ryanmcdermott/code-review-tips,1000
bit4woo,python_sec,https:github.com/bit4woo/python_sec,1000
code-review-checklists,java-concurrency,https:github.com/code-review-checklists/java-concurrency,970
jiangsir404,Audit-Learning,https:github.com/jiangsir404/Audit-Learning,815
TeamCodeStream,codestream,https:github.com/TeamCodeStream/codestream,695
enlightn,enlightn,https:github.com/enlightn/enlightn,574
uwolfer,gerrit-intellij-plugin,https:github.com/uwolfer/gerrit-intellij-plugin,428
palantir,policy-bot,https:github.com/palantir/policy-bot,428
bsamseth,cpp-project,https:github.com/bsamseth/cpp-project,424
mookid,diffr,https:github.com/mookid/diffr,388
mgreiler,code-review-checklist,https:github.com/mgreiler/code-review-checklist,347
sjparkinson,static-review,https:github.com/sjparkinson/static-review,327
dpnishant,raptor,https:github.com/dpnishant/raptor,324
burrito-brothers,shiba,https:github.com/burrito-brothers/shiba,286
charignon,github-review,https:github.com/charignon/github-review,266
wandersoncferreira,code-review,https:github.com/wandersoncferreira/code-review,146
src-d,lookout,https:github.com/src-d/lookout,143
uwolfer,gerrit-rest-java-client,https:github.com/uwolfer/gerrit-rest-java-client,140
