username,repo_name,repo_url,star_count
vercel,next.js,https:github.com/vercel/next.js,77400
rust-lang,rust,https:github.com/rust-lang/rust,60800
webpack,webpack,https:github.com/webpack/webpack,59900
sveltejs,svelte,https:github.com/sveltejs/svelte,53200
gatsbyjs,gatsby,https:github.com/gatsbyjs/gatsby,51800
babel,babel,https:github.com/babel/babel,40000
parcel-bundler,parcel,https:github.com/parcel-bundler/parcel,39500
JetBrains,kotlin,https:github.com/JetBrains/kotlin,39400
evanw,esbuild,https:github.com/evanw/esbuild,29000
markedjs,marked,https:github.com/markedjs/marked,26400
vlang,v,https:github.com/vlang/v,26000
vercel,pkg,https:github.com/vercel/pkg,19200
v8,v8,https:github.com/v8/v8,18700
swc-project,swc,https:github.com/swc-project/swc,18100
AssemblyScript,assemblyscript,https:github.com/AssemblyScript/assemblyscript,13000
Konloch,bytecode-viewer,https:github.com/Konloch/bytecode-viewer,12600
nim-lang,Nim,https:github.com/nim-lang/Nim,12200
ziglang,zig,https:github.com/ziglang/zig,11300
gopherjs,gopherjs,https:github.com/gopherjs/gopherjs,10700
RustPython,RustPython,https:github.com/RustPython/RustPython,9800
compiler-explorer,compiler-explorer,https:github.com/compiler-explorer/compiler-explorer,9800
apache,tvm,https:github.com/apache/tvm,7400
JetBrains,kotlin-native,https:github.com/JetBrains/kotlin-native,7100
numba,numba,https:github.com/numba/numba,7000
elm,compiler,https:github.com/elm/compiler,6700
aalhour,awesome-compilers,https:github.com/aalhour/awesome-compilers,6400
Nuitka,Nuitka,https:github.com/Nuitka/Nuitka,6100
DoctorWkt,acwj,https:github.com/DoctorWkt/acwj,5800
rescript-lang,rescript-compiler,https:github.com/rescript-lang/rescript-compiler,5600
lebab,lebab,https:github.com/lebab/lebab,5500
