username,repo_name,repo_url,star_count
CyC2018,CS-Notes,https:github.com/CyC2018/CS-Notes,142000
practical-tutorials,project-based-learning,https:github.com/practical-tutorials/project-based-learning,59500
azl397985856,leetcode,https:github.com/azl397985856/leetcode,45300
x64dbg,x64dbg,https:github.com/x64dbg/x64dbg,37700
fffaraz,awesome-cpp,https:github.com/fffaraz/awesome-cpp,34900
microsoft,calculator,https:github.com/microsoft/calculator,23200
CMU-Perceptual-Computing-Lab,openpose,https:github.com/CMU-Perceptual-Computing-Lab/openpose,22700
huihut,interview,https:github.com/huihut/interview,21400
youngyangyang04,leetcode-master,https:github.com/youngyangyang04/leetcode-master,18600
yuzu-emu,yuzu,https:github.com/yuzu-emu/yuzu,17100
TheAlgorithms,C-Plus-Plus,https:github.com/TheAlgorithms/C-Plus-Plus,16900
changkun,modern-cpp-tutorial,https:github.com/changkun/modern-cpp-tutorial,15700
microsoft,vcpkg,https:github.com/microsoft/vcpkg,14300
catchorg,Catch2,https:github.com/catchorg/Catch2,14300
ethereum,solidity,https:github.com/ethereum/solidity,13300
gabime,spdlog,https:github.com/gabime/spdlog,13200
AnthonyCalandra,modern-cpp-features,https:github.com/AnthonyCalandra/modern-cpp-features,13000
Qv2ray,Qv2ray,https:github.com/Qv2ray/Qv2ray,12800
facebook,infer,https:github.com/facebook/infer,12800
CoatiSoftware,Sourcetrail,https:github.com/CoatiSoftware/Sourcetrail,12200
google,tink,https:github.com/google/tink,11800
ssloy,tinyrenderer,https:github.com/ssloy/tinyrenderer,11700
antlr,antlr4,https:github.com/antlr/antlr4,11100
SFTtech,openage,https:github.com/SFTtech/openage,10700
kyleneideck,BackgroundMusic,https:github.com/kyleneideck/BackgroundMusic,10500
OpenRCT2,OpenRCT2,https:github.com/OpenRCT2/OpenRCT2,10100
compiler-explorer,compiler-explorer,https:github.com/compiler-explorer/compiler-explorer,9800
Ciphey,Ciphey,https:github.com/Ciphey/Ciphey,9000
hmemcpy,milewski-ctfp-pdf,https:github.com/hmemcpy/milewski-ctfp-pdf,9000
codota,TabNine,https:github.com/codota/TabNine,8800
